Ticker,Est EPS,Act EPS,Announcement Date
HST,0.152,0.28,20170726
HUM,2.088,4.49,20170802
IBM,5.231,2.49,20170718
ICE,0.778,0.71,20170803
IDXX,0.71,0.97,20170801
IFF,1.315,1.39,20170808
INCY,0.327,-0.06,20170801
INFO,0.56,0.25,20170627
IP,1.16,0.19,20170727
IPG,0.761,0.24,20170725
IQV,1.319,0.35,20170803
IR,1.064,1.4,20170726
IRM,0.358,0.3,20170728
ISRG,2.244,1.9967,20170720
IT,1.244,-1.03,20170808
ITW,1.545,1.7,20170724
IVZ,0.659,0.58,20170727
JBHT,1.098,0.89,20170717
JCI,0.628,0.59,20170727
JEC,0.865,0.74,20170808
JNPR,0.649,0.47,20170725
JPM,1.692,1.83,20170714
KEY,0.377,0.37,20170720
KIM,0.147,0.31,20170726
KLAC,1.625,1.64,20170727
KMB,1.631,1.5,20170725
KMI,0.188,0.15,20170719
KMX,0.767,1.14,20170621
KO,0.389,0.32,20170726
KR,0.4,0.33,20170615
KSU,1.324,1.27,20170721
L,0.765,0.69,20170731
LEG,0.643,0.64,20170727
LEN,1.76,0.8922,20170620
LH,2.368,1.84,20170726
LKQ,0.416,0.49,20170727
LLL,2.664,2.59,20170727
LLY,1.059,0.96,20170725
LMT,3.571,3.27,20170718
LNC,1.855,1.84,20170802
LNT,0.275,0.41,20170803
LRCX,2.46,3.25,20170726
LUK,0.29,0.16,20170727
LUV,0.988,1.24,20170727
LYB,2.353,2.82,20170728
MA,1.057,1.1,20170727
MAA,0.52,0.42,20170726
MAC,0.36,0.19,20170802
MAR,1.005,1.09,20170807
MAS,0.424,0.5,20170727
MAT,0.66,-0.16,20170727
MCD,1.595,1.72,20170725
MCHP,1.215,0.74,20170803
MCK,2.931,1.46,20170727
MCO,1.264,1.63,20170721
MDLZ,0.565,0.33,20170802
MET,1.335,0.78,20170802
MGM,0.223,0.37,20170727
MKC,1.46,0.8,20170629
MLM,2.105,2.26,20170801
MMC,0.952,0.98,20170727
MMM,1.997,2.65,20170725
MNST,0.365,0.39,20170808
MO,0.8,1.03,20170727
MON,0.308,1.92,20170628
MOS,0.291,0.28,20170801
MPC,0.447,0.94,20170727
MRK,1.027,0.71,20170728
MRO,-0.022,-0.16,20170802
MS,0.798,0.89,20170719
MSFT,0.896,0.84,20170720
MTB,2.42,2.36,20170719
MTD,5.772,3.94,20170727
MU,1.739,1.49,20170629
MYL,1.626,0.56,20170809
NAVI,0.501,0.4,20170718
NBL,0.041,-3.2,20170803
NCLH,0.663,0.87,20170808
NDAQ,1.026,0.89,20170726
NEE,1.388,1.69,20170726
NEM,0.305,0.33,20170725
NFLX,0.355,0.15,20170717
NFX,0.679,0.49,20170801
NI,0.33,-0.14,20170802
NKE,0.543,0.61,20170629
NLSN,0.821,0.37,20170727
NOC,2.934,3.16,20170726
